time,gaze_x,gaze_y,gaze_z,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,gaze_o_x,gaze_o_y,gaze_o_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,p0Id,p0_x,p0_y,p0_z,p1Id,p1_x,p1_y,p1_z
PREF,CourseWidth,13
PREF,SlopeAngle,8
PREF,PlayerFSpeed,95
PREF,PlayerHSpeed,8
PREF,CameraHeight,3
PREF,SubjectID,11
PREF,Method,0
PREF,RandomSeed,10
PREF,ThresholdAngleDeg,4.14
PREF,Blur_OuterRad,140
PREF,Blur_MaxSigmaPx,0.8000001
PREF,"SnowPlaneNormal",0,0.9902681,0.1391731
PREF,"SnowPlanePoint",0,-56.21634,400
START_REL_SEC,0
0,NaN,NaN,NaN,0.9565507,5.112474,0.07553963,-9.196997E-05,0.007225305,-0.003965158,0.999966,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0,NaN,NaN,NaN,0.9619612,2.96892,0.07562816,-0.0003982291,0.007118106,-0.004238075,0.9999657,0.9610927,2.968066,0.07570159,-0.05750204,-0.09867804,0.9934567,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.02001953,NaN,NaN,NaN,0.9626551,2.968809,0.07567179,-4.241324E-05,0.007511437,-0.005678243,0.9999557,0.9617096,2.968066,0.07570159,-0.05750204,-0.09867804,0.9934567,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.03405762,NaN,NaN,NaN,0.9629216,2.968696,0.07568122,0.0003697408,0.007650226,-0.006723115,0.9999481,0.9624671,2.967961,0.07572412,-0.05779616,-0.1016301,0.9931419,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.05780029,NaN,NaN,NaN,0.9636274,2.968416,0.07566909,0.001075686,0.007486195,-0.007384623,0.9999442,0.9630945,2.967961,0.07572412,-0.05779616,-0.1016301,0.9931419,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
