time,gaze_x,gaze_y,gaze_z,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,gaze_o_x,gaze_o_y,gaze_o_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,p0Id,p0_x,p0_y,p0_z,p1Id,p1_x,p1_y,p1_z
PREF,CourseWidth,13
PREF,SlopeAngle,8
PREF,PlayerFSpeed,95
PREF,PlayerHSpeed,8
PREF,CameraHeight,3
PREF,SubjectID,11
PREF,Method,0
PREF,RandomSeed,8
PREF,ThresholdAngleDeg,4.14
PREF,Blur_OuterRad,140
PREF,Blur_MaxSigmaPx,1.3
PREF,"SnowPlaneNormal",0,0.9902681,0.1391731
PREF,"SnowPlanePoint",0,-56.21634,400
START_REL_SEC,0
0,NaN,NaN,NaN,-3.551504,5.08885,-0.02279058,-0.04769181,-0.07750735,0.03368845,-0.9952804,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0,-0.8342708,-1.116194,8.301428,-3.538739,2.980634,-0.02363055,-0.04772044,-0.08072609,0.03504398,-0.9949764,-3.541424,2.979257,-0.02226067,0.2801393,-0.4238018,0.8613443,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.02001953,-0.8587722,-1.117685,8.312033,-3.534664,2.980801,-0.02382209,-0.04707476,-0.08138847,0.03511973,-0.9949505,-3.536383,2.979367,-0.02299714,0.2770184,-0.4238699,0.8623196,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.03503418,-0.8558685,-1.117685,8.312034,-3.531397,2.980937,-0.02399434,-0.0462339,-0.08188441,0.0351244,-0.9949491,-3.533479,2.979367,-0.02299714,0.2770184,-0.4238699,0.8623196,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.05767822,-0.8992118,-1.112586,8.275758,-3.526515,2.981017,-0.02438262,-0.04517411,-0.08291528,0.03582839,-0.9948874,-3.527977,2.979588,-0.02362108,0.2732729,-0.4254013,0.8627604,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
