time,gaze_x,gaze_y,gaze_z,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,gaze_o_x,gaze_o_y,gaze_o_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,p0Id,p0_x,p0_y,p0_z,p1Id,p1_x,p1_y,p1_z
PREF,CourseWidth,13
PREF,SlopeAngle,8
PREF,PlayerFSpeed,95
PREF,PlayerHSpeed,8
PREF,CameraHeight,3
PREF,SubjectID,12
PREF,Method,4
PREF,RandomSeed,9
PREF,ThresholdAngleDeg,4.14
PREF,Blur_OuterRad,140
PREF,Blur_MaxSigmaPx,0.8000001
PREF,"SnowPlaneNormal",0,0.9902681,0.1391731
PREF,"SnowPlanePoint",0,-56.21634,400
START_REL_SEC,0
0,NaN,NaN,NaN,-2.528723,6.269776,0.005579227,-0.02055191,-0.01625975,0.02228709,-0.9994081,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0,NaN,NaN,NaN,-2.521333,2.996378,0.005556525,-0.02024687,-0.01695966,0.02172631,-0.9994151,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.01998901,NaN,NaN,NaN,-2.518809,2.996423,0.005543479,-0.01988032,-0.01708746,0.0215948,-0.9994231,-2.520203,2.995229,0.005684376,-0.008024638,-0.1217382,0.9925298,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.04174805,NaN,NaN,NaN,-2.516423,2.996541,0.005557244,-0.01944928,-0.01714985,0.02139417,-0.9994348,-2.517404,2.995305,0.005606771,0.01420344,-0.1021117,0.9946715,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.06796265,NaN,NaN,NaN,-2.512675,2.996728,0.005602393,-0.01915381,-0.0173422,0.02141394,-0.9994368,-2.513437,2.995443,0.005596757,0.01512516,-0.1009427,0.9947773,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
