time,gaze_x,gaze_y,gaze_z,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,gaze_o_x,gaze_o_y,gaze_o_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,p0Id,p0_x,p0_y,p0_z,p1Id,p1_x,p1_y,p1_z
PREF,CourseWidth,13
PREF,SlopeAngle,8
PREF,PlayerFSpeed,95
PREF,PlayerHSpeed,8
PREF,CameraHeight,3
PREF,SubjectID,12
PREF,Method,0
PREF,RandomSeed,8
PREF,ThresholdAngleDeg,4.14
PREF,Blur_OuterRad,140
PREF,Blur_MaxSigmaPx,1.3
PREF,"SnowPlaneNormal",0,0.9902681,0.1391731
PREF,"SnowPlanePoint",0,-56.21634,400
START_REL_SEC,0
0,NaN,NaN,NaN,3.212882,6.269715,0.1226055,-0.009752497,0.02054071,0.02003997,-0.9995406,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0,NaN,NaN,NaN,3.261424,2.985022,0.1224578,-0.009033739,0.01937974,0.01719881,-0.9996235,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.0199585,-22.39185,-49.49653,396.0309,3.274929,2.984836,0.1223631,-0.00951853,0.01961655,0.01790988,-0.9996018,3.267737,2.984365,0.1224904,-0.0641177,-0.1311383,0.9892884,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.03430176,-22.25843,-49.24882,394.1619,3.288755,2.984523,0.1223045,-0.01043052,0.02024756,0.01922214,-0.9995558,3.280026,2.984365,0.1224904,-0.0641177,-0.1311383,0.9892884,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.05657959,-24.11878,-47.96243,392.8455,3.317132,2.983868,0.1221635,-0.01227827,0.02181694,0.02184931,-0.9994478,3.309548,2.984027,0.1224635,-0.06909551,-0.1283407,0.9893202,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
