time,gaze_x,gaze_y,gaze_z,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,gaze_o_x,gaze_o_y,gaze_o_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,p0Id,p0_x,p0_y,p0_z,p1Id,p1_x,p1_y,p1_z
PREF,CourseWidth,13
PREF,SlopeAngle,8
PREF,PlayerFSpeed,95
PREF,PlayerHSpeed,8
PREF,CameraHeight,3
PREF,SubjectID,5
PREF,Method,0
PREF,RandomSeed,9
PREF,ThresholdAngleDeg,4.14
PREF,Blur_OuterAngleDeg,140
PREF,Blur_SigmaPx,1.3
PREF,"SnowPlaneNormal",0,0.9902681,0.1391731
PREF,"SnowPlanePoint",0,-56.21634,400
START_REL_SEC,0
0,NaN,NaN,NaN,-1.150806,6.291364,0.01842698,-0.020609,0.01606756,0.02409075,0.9993681,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0,NaN,NaN,NaN,-1.146601,2.995449,0.01694342,-0.02169475,0.01653478,0.02338592,0.9993544,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.02000427,NaN,NaN,NaN,-1.144687,2.995544,0.0165151,-0.02221055,0.01662007,0.02314886,0.9993472,-1.145529,2.99395,0.01917648,0.007940036,-0.06926078,0.997567,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.03404236,NaN,NaN,NaN,-1.143073,2.995691,0.0161372,-0.02272517,0.01677412,0.02278988,0.9993412,-1.143672,2.994151,0.01800704,0.002252016,-0.07300556,0.997329,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.05696106,NaN,NaN,NaN,-1.140339,2.99596,0.01531317,-0.02378186,0.01686317,0.02263779,0.9993186,-1.141242,2.994151,0.01800704,0.002252016,-0.07300556,0.997329,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
