time,gaze_x,gaze_y,gaze_z,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,gaze_o_x,gaze_o_y,gaze_o_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,p0Id,p0_x,p0_y,p0_z,p1Id,p1_x,p1_y,p1_z
PREF,CourseWidth,13
PREF,SlopeAngle,8
PREF,PlayerFSpeed,95
PREF,PlayerHSpeed,8
PREF,CameraHeight,3
PREF,SubjectID,7
PREF,Method,7
PREF,RandomSeed,9
PREF,ThresholdAngleDeg,4.14
PREF,Blur_OuterAngleDeg,10
PREF,Blur_SigmaPx,2.000001
PREF,"SnowPlaneNormal",0,0.9902681,0.1391731
PREF,"SnowPlanePoint",0,-56.21634,400
START_REL_SEC,0
0,NaN,NaN,NaN,-0.5755119,5.071068,-0.01889477,-0.073158,-0.004636258,0.0259052,0.9969731,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0,NaN,NaN,NaN,-0.5842454,2.991809,-0.01906579,-0.0709454,-0.004319251,0.02586389,0.9971355,-0.583323,2.991202,-0.01874149,0.003667553,-0.07062453,0.9974962,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.02001953,NaN,NaN,NaN,-0.5878728,2.991634,-0.01917298,-0.0701481,-0.004180133,0.02583617,0.9971933,-0.5868674,2.991056,-0.01877844,0.003839376,-0.0719182,0.9974031,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.03613281,NaN,NaN,NaN,-0.591374,2.991467,-0.01929449,-0.06941357,-0.004080475,0.02572002,0.9972481,-0.5904101,2.990855,-0.01885593,0.004081027,-0.07366692,0.9972746,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.05883789,NaN,NaN,NaN,-0.5988049,2.991161,-0.01962381,-0.06812204,-0.003764987,0.02550788,0.9973438,-0.5976505,2.990568,-0.01902175,0.004462699,-0.07607958,0.9970918,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
