time,gaze_x,gaze_y,gaze_z,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,gaze_o_x,gaze_o_y,gaze_o_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,p0Id,p0_x,p0_y,p0_z,p1Id,p1_x,p1_y,p1_z
PREF,CourseWidth,13
PREF,SlopeAngle,8
PREF,PlayerFSpeed,95
PREF,PlayerHSpeed,8
PREF,CameraHeight,3
PREF,SubjectID,9
PREF,Method,7
PREF,RandomSeed,9
PREF,ThresholdAngleDeg,4.14
PREF,Blur_OuterRad,140
PREF,Blur_MaxSigmaPx,1.3
PREF,"SnowPlaneNormal",0,0.9902681,0.1391731
PREF,"SnowPlanePoint",0,-56.21634,400
START_REL_SEC,0
0,NaN,NaN,NaN,-0.04404221,5.227411,-0.0267056,0.1139453,0.02170242,0.01060065,-0.9931934,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0,NaN,NaN,NaN,-0.0467766,2.99377,-0.02838104,0.1145524,0.02262729,0.009122321,-0.9931176,-0.04655249,2.992193,-0.02660263,0.01774032,-0.02188952,0.999603,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.01998901,NaN,NaN,NaN,-0.04837706,2.994069,-0.02920783,0.1146421,0.0232687,0.008683217,-0.9930964,-0.04797512,2.992193,-0.02660263,0.01774032,-0.02188952,0.999603,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.06890869,NaN,NaN,NaN,-0.04909185,2.99408,-0.02967064,0.1146683,0.02358744,0.008615095,-0.9930864,-0.04896681,2.993018,-0.0285728,0.01580227,-0.01917548,0.9996912,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.1156616,NaN,NaN,NaN,-0.05334765,2.993188,-0.03275818,0.1123506,0.02501947,0.009082353,-0.9933121,-0.05295371,2.993061,-0.0296793,0.01074354,-0.02123895,0.9997167,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
