SubjectID,rateTimeP0,rateTimeP1,rateTimeS0,rateTimeS1,rateTimeOther,passRate,longRate,tightRate,mean_minDistToFlag,mean_lastRiseSec,mean_p1Duration,mean_p1CountPerSection
1,0.269924,0.631269,0.000000,0.002988,0.095819,97.857142,97.857142,95.000000,3.241136,0.816843,0.589728,1.558824
2,0.420574,0.518804,0.003401,0.016518,0.040703,37.457982,37.457982,21.666667,3.989200,0.665372,0.454043,1.654412
3,0.638312,0.249468,0.024077,0.031765,0.056377,83.571430,83.571430,63.333338,2.534398,0.750128,0.270705,1.352941
4,0.487268,0.439399,0.006590,0.047149,0.019596,91.428570,91.428570,85.000000,2.509380,0.525721,0.360838,1.757353
5,0.344518,0.632947,0.003115,0.000286,0.019133,98.095240,98.095240,100.000000,2.676600,0.812725,0.663873,1.382353
6,0.256946,0.692044,0.011262,0.019390,0.020358,88.571427,88.571427,85.000000,3.072647,0.772447,0.551733,1.816176
7,0.486822,0.380514,0.060827,0.057651,0.014186,93.571430,93.571430,85.000000,2.445317,0.566867,0.308395,1.772059
8,0.562337,0.378794,0.002347,0.032733,0.023789,100.000000,100.000000,100.000000,3.383613,0.508416,0.388039,1.411765
9,0.524023,0.309914,0.003213,0.006195,0.156657,72.142855,72.142855,61.666668,3.709364,0.843514,0.299623,1.485294
10,0.640805,0.225997,0.057470,0.044570,0.031158,92.142858,92.142858,85.000005,2.781767,0.365922,0.207397,1.573529
11,0.631720,0.322669,0.004911,0.017525,0.023174,92.857142,92.857142,85.000000,2.958896,0.429846,0.331886,1.404412
12,0.578515,0.240298,0.019495,0.096165,0.065527,98.285714,98.285714,96.000000,3.054820,0.506392,0.246595,1.429412
