SubjectID,rateTimeP0,rateTimeP1,rateTimeS0,rateTimeS1,rateTimeOther,passRate,longRate,tightRate,mean_minDistToFlag,mean_lastRiseSec,mean_p1Duration,mean_p1CountPerSection
1,0.458802,0.525999,0.000000,0.000000,0.015198,99.285715,99.285715,100.000000,2.719659,1.359414,0.747611,1.014706
2,0.412585,0.574908,0.000000,0.000000,0.012507,29.516805,29.516805,11.666664,4.155466,1.316377,0.785617,1.044118
3,0.476533,0.508159,0.000425,0.000284,0.014600,95.000002,95.000002,91.666670,2.028715,1.295786,0.662786,1.110294
4,0.479160,0.507936,0.000000,0.000000,0.012904,97.142860,97.142860,95.000005,1.870967,1.363739,0.728024,1.007353
5,0.465596,0.521357,0.000000,0.000000,0.013047,100.000000,100.000000,100.000000,2.258827,1.371491,0.752757,1.000000
6,0.461855,0.523400,0.000566,0.000000,0.014179,100.000000,100.000000,100.000000,2.680091,1.272890,0.655660,1.154412
7,0.471454,0.514344,0.000000,0.000000,0.014202,99.285715,99.285715,100.000000,1.935278,1.361066,0.735850,1.007353
8,0.447722,0.535516,0.000426,0.000000,0.016336,100.000000,100.000000,100.000000,3.108657,1.342482,0.730572,1.058824
9,0.499721,0.475189,0.001847,0.005244,0.018000,85.714288,85.714288,76.666665,3.208870,1.096879,0.517779,1.338235
10,0.488880,0.491711,0.004104,0.001407,0.013898,97.857145,97.857145,95.000005,2.116515,1.183789,0.555697,1.286765
11,0.480486,0.508441,0.000000,0.000000,0.011073,94.285712,94.285712,93.333335,2.198270,1.328640,0.711873,1.029412
12,0.446118,0.535867,0.000426,0.000428,0.017163,100.000000,100.000000,100.000000,2.672373,1.341391,0.746518,1.036765
