SubjectID,rateTimeP0,rateTimeP1,rateTimeS0,rateTimeS1,rateTimeOther,passRate,longRate,tightRate,mean_minDistToFlag,mean_lastRiseSec,mean_p1Duration,mean_p1CountPerSection
1,0.457366,0.528464,0.000000,0.000000,0.014170,100.000000,100.000000,100.000000,3.071241,1.363986,0.763221,1.000000
2,0.465643,0.520149,0.000217,0.001483,0.012508,42.857143,42.857143,23.333333,3.347722,1.209331,0.657170,1.147059
3,0.479759,0.507292,0.000638,0.000643,0.011668,95.714285,95.714285,93.333335,2.581331,1.337481,0.705325,1.036765
4,0.479290,0.508681,0.000000,0.000000,0.012029,94.285715,94.285715,86.666670,2.370060,1.365937,0.734438,1.000000
5,0.467552,0.518428,0.000000,0.000000,0.014020,97.142857,97.142857,96.666670,2.733910,1.347061,0.736369,1.014706
6,0.462790,0.528370,0.000000,0.000433,0.008407,81.428573,81.428573,73.333338,2.836667,1.158007,0.609939,1.242647
7,0.571085,0.392222,0.000000,0.000000,0.036693,96.428570,96.428570,93.333335,2.437533,1.082584,0.459885,1.242647
8,0.446928,0.539412,0.000000,0.000000,0.013660,99.285715,99.285715,98.333335,3.701727,1.354185,0.762485,1.022059
9,0.521100,0.453155,0.000870,0.003106,0.021769,93.571427,93.571427,90.000000,3.393832,1.050643,0.484635,1.352941
10,0.497797,0.483904,0.003320,0.001918,0.013062,97.857142,97.857142,98.333335,2.761771,1.217268,0.587928,1.191176
11,0.490799,0.493051,0.002836,0.004461,0.008854,83.571433,83.571433,74.999998,2.974543,1.241041,0.628326,1.132353
12,0.470508,0.503244,0.003648,0.004141,0.018460,96.428570,96.428570,91.666665,3.165414,1.188451,0.591908,1.235294
