time,flag_id,flag_x,flag_y,flag_z,o_x,o_y,o_z,target_dir_x,target_dir_y,target_dir_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,err_deg
0,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,-1,NaN,NaN,NaN,-0.0239482,2.997602,-0.01477739,NaN,NaN,NaN,0.0720803,-0.04695462,0.9962929,NaN
0.02001953,-1,NaN,NaN,NaN,-0.02358719,2.997602,-0.01477739,NaN,NaN,NaN,0.0720803,-0.04695462,0.9962929,NaN
0.03387451,-1,NaN,NaN,NaN,-0.02297138,2.997587,-0.01465279,NaN,NaN,NaN,0.08373112,-0.06404354,0.9944282,NaN
0.05560303,-1,NaN,NaN,NaN,-0.0224181,2.997587,-0.01465279,NaN,NaN,NaN,0.08373112,-0.06404354,0.9944282,NaN
0.0736084,-1,NaN,NaN,NaN,-0.02108934,2.997518,-0.01451123,NaN,NaN,NaN,0.08583324,-0.1933191,0.9773743,NaN
0.09771729,-1,NaN,NaN,NaN,-0.02001191,2.997518,-0.01451123,NaN,NaN,NaN,0.08583324,-0.1933191,0.9773743,NaN
0.1151123,-1,NaN,NaN,NaN,-0.01837494,2.997421,-0.01434794,NaN,NaN,NaN,0.08552518,-0.2206893,0.9715872,NaN
0.1393433,-1,NaN,NaN,NaN,-0.01687472,2.99737,-0.01414073,NaN,NaN,NaN,0.08583649,-0.226251,0.9702797,NaN
0.1581421,-1,NaN,NaN,NaN,-0.01568795,2.99737,-0.01414073,NaN,NaN,NaN,0.08583649,-0.226251,0.9702797,NaN
0.180603,-1,NaN,NaN,NaN,-0.01457113,2.997308,-0.01387762,NaN,NaN,NaN,0.0838532,-0.2316794,0.9691715,NaN
0.1991577,-1,NaN,NaN,NaN,-0.01376114,2.997277,-0.01353709,NaN,NaN,NaN,0.0809219,-0.2327633,0.9691609,NaN
0.2228394,-1,NaN,NaN,NaN,-0.01230714,2.997277,-0.01353709,NaN,NaN,NaN,0.0809219,-0.2327633,0.9691609,NaN
0.2408447,-1,NaN,NaN,NaN,-0.01061251,2.997193,-0.01319939,NaN,NaN,NaN,0.07890618,-0.2335308,0.9691425,NaN
0.2643433,-1,NaN,NaN,NaN,-0.01008114,2.997197,-0.01283696,NaN,NaN,NaN,0.07735132,-0.2339502,0.9691667,NaN
0.2819214,-1,NaN,NaN,NaN,-0.008792204,2.997197,-0.01283696,NaN,NaN,NaN,0.07735132,-0.2339502,0.9691667,NaN
0.3057861,-1,NaN,NaN,NaN,-0.008183997,2.997165,-0.01247163,NaN,NaN,NaN,0.04693177,-0.1802222,0.9825057,NaN
0.3222656,-1,NaN,NaN,NaN,-0.007312994,2.997165,-0.01247163,NaN,NaN,NaN,0.04693177,-0.1802222,0.9825057,NaN
0.3395996,-1,NaN,NaN,NaN,-0.007095031,2.997048,-0.01212178,NaN,NaN,NaN,0.04479327,-0.06347046,0.996978,NaN
0.3615723,-1,NaN,NaN,NaN,-0.00666251,2.997048,-0.01212178,NaN,NaN,NaN,0.04479327,-0.06347046,0.996978,NaN
0.3770142,-1,NaN,NaN,NaN,-0.006725136,2.996922,-0.01181118,NaN,NaN,NaN,0.04480137,-0.06349969,0.9969757,NaN
0.4032593,-1,NaN,NaN,NaN,-0.006800883,2.996849,-0.01154974,NaN,NaN,NaN,0.04670627,-0.06044174,0.9970784,NaN
0.4171143,-1,NaN,NaN,NaN,-0.006828509,2.996849,-0.01154974,NaN,NaN,NaN,0.04670627,-0.06044174,0.9970784,NaN
0.4311523,-1,NaN,NaN,NaN,-0.006881382,2.996816,-0.01135841,NaN,NaN,NaN,0.04683112,-0.05767247,0.9972365,NaN
0.4602661,-1,NaN,NaN,NaN,-0.00688329,2.996816,-0.01135841,NaN,NaN,NaN,0.04683112,-0.05767247,0.9972365,NaN
0.4726563,-1,NaN,NaN,NaN,-0.006809257,2.996801,-0.01125197,NaN,NaN,NaN,0.0491624,-0.04957186,0.9975598,NaN
0.4882202,-1,NaN,NaN,NaN,-0.006900407,2.996801,-0.01125197,NaN,NaN,NaN,0.0491624,-0.04957186,0.9975598,NaN
0.5147095,-1,NaN,NaN,NaN,-0.006788153,2.99683,-0.01121247,NaN,NaN,NaN,0.05424133,-0.04893927,0.9973279,NaN
0.5289307,-1,NaN,NaN,NaN,-0.006571364,2.996901,-0.01122361,NaN,NaN,NaN,0.05433464,-0.05961041,0.9967419,NaN
0.546936,-1,NaN,NaN,NaN,-0.006339859,2.996901,-0.01122361,NaN,NaN,NaN,0.05433464,-0.05961041,0.9967419,NaN
0.5703125,-1,NaN,NaN,NaN,-0.005888507,2.996914,-0.01130024,NaN,NaN,NaN,0.05156421,-0.06214349,0.9967343,NaN
0.5842285,-1,NaN,NaN,NaN,-0.005231172,2.996914,-0.01130024,NaN,NaN,NaN,0.05156421,-0.06214349,0.9967343,NaN
0.6005249,-1,NaN,NaN,NaN,-0.004722714,2.996876,-0.01138763,NaN,NaN,NaN,0.05083065,-0.06597811,0.9965256,NaN
0.621582,-1,NaN,NaN,NaN,-0.004263371,2.996876,-0.01138763,NaN,NaN,NaN,0.05083065,-0.06597811,0.9965256,NaN
0.6392212,-1,NaN,NaN,NaN,-0.003892973,2.99683,-0.011481,NaN,NaN,NaN,0.04526587,-0.09907454,0.99405,NaN
0.6567993,-1,NaN,NaN,NaN,-0.003840566,2.99683,-0.011481,NaN,NaN,NaN,0.04526587,-0.09907454,0.99405,NaN
0.6744995,-1,NaN,NaN,NaN,-0.003600907,2.996778,-0.01150316,NaN,NaN,NaN,0.04210896,-0.1095416,0.9930899,NaN
0.6952515,-1,NaN,NaN,NaN,-0.002826639,2.996737,-0.01147839,NaN,NaN,NaN,0.04124827,-0.1116787,0.9928879,NaN
0.7133789,-1,NaN,NaN,NaN,-0.002463751,2.996737,-0.01147839,NaN,NaN,NaN,0.04124827,-0.1116787,0.9928879,NaN
0.7310181,-1,NaN,NaN,NaN,-0.002221912,2.996708,-0.01146166,NaN,NaN,NaN,0.04161793,-0.1151146,0.99248,NaN
0.7487793,-1,NaN,NaN,NaN,-0.002220467,2.996708,-0.01146166,NaN,NaN,NaN,0.04161793,-0.1151146,0.99248,NaN
0.7672729,-1,NaN,NaN,NaN,-0.001915317,2.996706,-0.01142257,NaN,NaN,NaN,0.0411673,-0.1178842,0.9921737,NaN
0.784729,-1,NaN,NaN,NaN,-0.001839962,2.996706,-0.01142257,NaN,NaN,NaN,0.0411673,-0.1178842,0.9921737,NaN
0.802124,-1,NaN,NaN,NaN,-0.001532394,2.996646,-0.01134822,NaN,NaN,NaN,0.03560836,-0.1223463,0.9918485,NaN
0.8198242,-1,NaN,NaN,NaN,-0.001271818,2.996646,-0.01134822,NaN,NaN,NaN,0.03560836,-0.1223463,0.9918485,NaN
0.8397217,-1,NaN,NaN,NaN,-0.0008385852,2.996595,-0.01126267,NaN,NaN,NaN,0.03536539,-0.1234049,0.991726,NaN
0.8577881,-1,NaN,NaN,NaN,-0.0007909015,2.996595,-0.01126267,NaN,NaN,NaN,0.03536539,-0.1234049,0.991726,NaN
0.8746948,-1,NaN,NaN,NaN,-0.0007051826,2.996572,-0.01116213,NaN,NaN,NaN,0.05018533,-0.1018679,0.9935312,NaN
0.8924561,-1,NaN,NaN,NaN,-0.0007050931,2.996572,-0.01116213,NaN,NaN,NaN,0.05018533,-0.1018679,0.9935312,NaN
0.9103394,-1,NaN,NaN,NaN,-0.0005516969,2.996584,-0.01098308,NaN,NaN,NaN,0.05086339,-0.09443323,0.994231,NaN
0.9275513,-1,NaN,NaN,NaN,-0.000343319,2.996603,-0.0107279,NaN,NaN,NaN,0.05356339,-0.09485989,0.9940486,NaN
0.9448853,-1,NaN,NaN,NaN,-0.0001704805,2.996603,-0.0107279,NaN,NaN,NaN,0.05356339,-0.09485989,0.9940486,NaN
0.9619141,-1,NaN,NaN,NaN,0.0001854487,2.996559,-0.01056346,NaN,NaN,NaN,0.05477285,-0.09340979,0.99412,NaN
0.9798584,-1,NaN,NaN,NaN,0.0009004958,2.996559,-0.01056346,NaN,NaN,NaN,0.05477285,-0.09340979,0.99412,NaN
0.9976807,-1,NaN,NaN,NaN,0.001289308,2.996603,-0.01038754,NaN,NaN,NaN,0.05368598,-0.09359749,0.9941616,NaN
1.01532,-1,NaN,NaN,NaN,0.001430497,2.996603,-0.01038754,NaN,NaN,NaN,0.05368598,-0.09359749,0.9941616,NaN
1.034851,-1,NaN,NaN,NaN,0.001580931,2.996496,-0.01018867,NaN,NaN,NaN,0.04952421,-0.09414237,0.9943262,NaN
1.052124,-1,NaN,NaN,NaN,0.001804523,2.996496,-0.01018867,NaN,NaN,NaN,0.04952421,-0.09414237,0.9943262,NaN
1.069702,-1,NaN,NaN,NaN,0.002042472,2.996365,-0.009966314,NaN,NaN,NaN,0.05166329,-0.09438614,0.9941942,NaN
1.086975,-1,NaN,NaN,NaN,0.00186789,2.996365,-0.009966314,NaN,NaN,NaN,0.05166329,-0.09438614,0.9941942,NaN
1.10553,-1,NaN,NaN,NaN,0.001689035,2.996258,-0.009757891,NaN,NaN,NaN,0.06221856,-0.09576887,0.9934572,NaN
1.122742,-1,NaN,NaN,NaN,0.001495499,2.996258,-0.009757891,NaN,NaN,NaN,0.06221856,-0.09576887,0.9934572,NaN
1.140259,-1,NaN,NaN,NaN,0.001169007,2.996211,-0.009558991,NaN,NaN,NaN,0.06329174,-0.09518518,0.9934455,NaN
1.161499,-1,NaN,NaN,NaN,0.0006251819,2.996257,-0.009263664,NaN,NaN,NaN,0.05988754,-0.09581503,0.993596,NaN
1.17926,-1,NaN,NaN,NaN,0.0003790446,2.996257,-0.009263664,NaN,NaN,NaN,0.05988754,-0.09581503,0.993596,NaN
1.196533,-1,NaN,NaN,NaN,0.0002628118,2.996271,-0.008999735,NaN,NaN,NaN,0.0576122,-0.09461512,0.9938455,NaN
