time,gaze_x,gaze_y,gaze_z,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,gaze_o_x,gaze_o_y,gaze_o_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,p0Id,p0_x,p0_y,p0_z,p1Id,p1_x,p1_y,p1_z
PREF,CourseWidth,12
PREF,SlopeAngle,8
PREF,PlayerFSpeed,100
PREF,PlayerHSpeed,30
PREF,CameraHeight,3
PREF,SubjectID,2
PREF,Method,5
PREF,RandomSeed,11
PREF,ThresholdAngleDeg,4.14
PREF,Blur_OuterAngleDeg,150
PREF,Blur_SigmaPx,0.8
PREF,"SnowPlaneNormal",0,0.9902681,0.1391731
PREF,"SnowPlanePoint",0,-56.21634,400
START_REL_SEC,0
0,NaN,NaN,NaN,0.02805626,4.023089,-0.0002546399,0.1049722,0.012597,0.03593527,-0.9937459,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0,NaN,NaN,NaN,0.0732604,2.994753,-0.0009759001,0.1007329,0.006553993,0.03681712,-0.9942105,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.01999855,NaN,NaN,NaN,0.0801948,2.994544,-0.001107736,0.09996578,0.005613163,0.03713295,-0.9942819,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.03985596,NaN,NaN,NaN,0.08533984,2.994316,-0.001205795,0.09932197,0.005001411,0.03764757,-0.9943304,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
0.06196976,NaN,NaN,NaN,0.09478129,2.993892,-0.001436337,0.09785226,0.004011706,0.03815062,-0.9944613,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
