RESULT,totalValidTime,51.206973
RESULT,timeP0,2.258112
RESULT,timeP1,43.186156
RESULT,timeS0,0.027290
RESULT,timeS1,0.055865
RESULT,timeOther,5.679550
RESULT,cntP0,81
RESULT,cntP1,1546
RESULT,cntS0,1
RESULT,cntS1,2
RESULT,rateTimeP0,0.044098
RESULT,rateTimeP1,0.843365
RESULT,rateTimeS0,0.000533
RESULT,rateTimeS1,0.001091
RESULT,rateTimeOther,0.110914
RESULT,rateCntP0,0.044070
RESULT,rateCntP1,0.841132
pId,lastRiseSecBeforePassP
0,1.531404
1,1.503512
2,1.475753
3,NaN
4,NaN
5,NaN
6,1.364246
7,1.336375
8,1.308619
9,1.280701
10,1.252051
11,1.225105
12,1.197120
13,1.169355
14,1.141539
15,1.113771
16,1.085093
17,1.058426
18,1.030270
19,1.002354
20,0.974554
21,0.946621
22,0.918287
23,0.890981
24,0.863160
25,0.835373
26,0.807431
27,0.779513
28,0.751545
29,0.723898
30,0.696096
31,0.668155
32,0.640340
33,0.612552
34,0.584439
35,0.556699
36,0.529032
37,0.500958
38,0.473213
39,0.445449
40,0.416751
41,NaN
42,NaN
43,NaN
44,NaN
45,0.278367
46,0.250452
47,0.222627
48,0.194744
49,0.166672
50,0.138862
51,0.111273
52,0.083304
53,0.055559
54,0.027515
55,0.000000
56,1.454162
57,1.426295
58,1.398423
59,1.370585
60,1.342633
61,1.315074
62,1.287157
63,1.259222
64,1.231500
65,1.203414
66,1.175779
67,1.147742
68,1.120041
69,1.092324
70,1.064490
71,1.036328
72,NaN
73,NaN
74,0.953096
75,0.925321
76,0.897423
77,0.868901
78,0.841708
79,0.813877
80,0.786024
81,0.758213
82,0.730250
83,0.702252
84,0.674677
85,0.646808
86,0.618926
87,0.591079
88,0.563261
89,0.534595
90,0.507592
91,0.479869
92,0.451973
93,0.424217
94,0.396361
95,0.367712
96,0.340576
97,0.312936
98,0.284872
99,0.257203
100,0.229315
101,0.200792
102,0.173658
103,0.145731
104,0.117988
105,0.090140
106,0.062152
107,0.033838
108,0.006649
109,1.423120
110,1.395316
111,1.367546
112,1.339566
113,1.311094
114,1.283931
115,1.256080
116,1.228295
117,1.200445
118,1.172362
119,1.144018
120,1.116907
121,1.089047
122,1.061054
123,1.033119
124,1.005505
125,0.977519
126,0.949786
127,0.922026
128,0.893918
129,0.865887
130,0.838337
131,0.810458
132,0.782468
133,0.754648
134,0.726962
135,0.698989
136,0.671112
137,0.643310
138,0.615081
139,0.587592
140,0.559677
141,0.531823
142,0.503920
143,0.476269
144,0.448489
145,0.420589
146,0.392435
147,0.364941
148,0.337046
149,0.309232
150,0.281343
151,0.253339
152,0.225526
153,0.197880
154,0.169963
155,0.141838
156,0.113901
157,0.086431
158,0.058562
159,0.030556
160,0.002941
161,1.419385
162,1.391491
163,1.363839
164,1.335857
165,1.308058
166,1.280208
167,1.252389
168,1.223741
169,NaN
170,NaN
171,NaN
172,NaN
173,NaN
174,NaN
175,1.029401
176,1.001676
177,0.973756
178,0.946193
179,0.918275
180,0.889661
181,0.862489
182,0.834794
183,0.806950
184,0.779014
185,0.751080
186,0.722772
187,0.695550
188,0.667816
189,0.640043
190,0.612104
191,0.584209
192,0.555648
193,0.528551
194,0.500781
195,0.473099
196,0.445095
197,0.417162
198,0.388947
199,0.361519
200,0.331525
201,0.305854
202,0.277954
203,0.250160
204,0.222254
205,NaN
206,NaN
207,NaN
208,0.110666
209,0.083161
210,0.055191
211,0.027470
212,NaN
213,NaN
214,NaN
215,1.360076
216,1.332785
217,1.304867
218,1.276825
219,1.249241
220,1.221353
221,1.193358
222,1.165734
223,1.137808
224,1.109987
225,1.082069
226,1.054283
