flag_id,usable_rows,subjects_contributing,err_mean_deg,err_p50_deg,err_p75_deg,err_p90_deg,err_p95_deg,err_max_deg
0,1216,12,5.262782900164474,4.6068105,6.35863775,8.8625175,10.995355,23.58907
1,1217,12,2.355579722021364,2.072827,3.088384,3.9776982000000003,4.781398000000001,11.15636
2,1196,12,1.6118152306270903,1.1920600000000001,1.7459642499999999,2.6346040000000004,6.04055725,8.650244
3,1195,12,5.503944872301255,3.877524,5.201325000000001,15.322164000000024,20.750749999999993,30.69523
4,1188,12,2.208814908922559,1.821234,2.8405555,3.9488136999999996,6.2219226499999944,7.911898
5,1190,12,1.678864665277311,1.2426165,1.989329,3.0486809000000017,5.799524599999999,9.812255
6,1207,12,3.988311968599834,3.732713,5.8773485,7.1956508,7.7240746,11.16493
7,1202,12,1.9499713344509153,1.747309,2.6598235,3.5157292,3.8111994000000005,12.61643
8,1221,12,1.3455372376576575,1.017795,1.918467,2.566053,3.153929,8.701161
9,1229,12,2.8146723827502034,2.201849,3.781132,4.873575199999999,5.514809399999999,15.92155
10,1227,12,1.7071266463406685,1.388467,2.1616144999999998,2.984417600000002,3.873652000000002,8.798883
11,1221,12,1.3936988514660116,1.168854,1.744506,2.624505,3.107531,9.359332
12,1226,12,2.7376484897226754,2.171957,3.3975065,5.099062,5.906911,13.09262
13,1236,12,1.7997541134061488,1.5642925,2.3112435,3.661899,4.56468575,8.69032
14,1236,12,1.653599414684466,1.2177220000000002,1.84044725,2.4651765,2.9806844999999997,26.78527
15,1240,12,3.6935421993387094,2.8471634999999997,3.5978095000000003,4.626658200000001,5.0014676,59.00604
16,1197,12,3.314265313650793,1.658828,2.182654,3.082872800000001,8.454374600000001,51.96916
17,1204,12,1.57715418429402,1.2727244999999998,1.811672,2.417301500000002,2.98042235,22.38002
