metric,value
input_dir,gaze_logs
file_count,12
subject_count,12
discard_sec_per_flag_segment,1.0
"recommended_tolerance_deg (U80|E95, linear)",8.950437189999999
"tolerance_deg (U75|E95, linear)",8.042616512499997
"tolerance_deg (U90|E95, linear)",14.008588329999979
"tolerance_deg (U95|E95, linear)",17.82038507499998
pooled_err_mean_deg (reference),2.5869716401057308
pooled_err_std_deg (reference),3.6170989355470486
pooled_err_p50_deg (reference),1.7482605
pooled_err_p75_deg (reference),3.0315575
pooled_err_p90_deg (reference),4.895937999999999
pooled_err_p95_deg (reference),6.770572599999996
pooled_err_p99_deg (reference),16.907446799999974
mean(E95_i) across subjects,7.780906299999997
std(E95_i) across subjects,5.387548178001136
median(E95_i) across subjects,5.875285624999999
