subject_id,E50_deg,E75_deg,E90_deg,E95_deg,E99_deg,usable_rows
1,1.009299,1.9024847500000002,5.444137999999991,7.6299707499999965,15.750348700000007,1858
10,1.879094,3.3590975,5.3371426,9.280553799999998,26.8426144,1915
11,1.0027845000000002,1.5497127499999999,2.3347300999999994,3.756923549999999,9.971536779999996,2018
12,1.6405,2.37891,3.4261813000000005,3.9945728499999995,11.03447500000002,1860
2,3.3971025,4.9429215,8.147416600000001,14.533925499999974,20.0547678,1924
3,0.8493817,1.435757,2.4231725999999996,3.2926450999999974,3.8284723400000016,1608
4,1.5829465,2.0643350000000003,2.978861,6.198666799999998,8.26372392,1764
5,3.137311,4.87375175,6.8192949,7.289838899999999,7.827686550000002,1734
6,2.139912,3.206928,5.1546158,21.837169,51.7237748,1959
7,1.579667,2.645601,3.8185642,4.9717953999999995,6.18308404,1713
8,1.444285,2.2529440000000003,4.492177,5.0329095,5.3906015,1751
9,2.3761935000000003,4.00335425,4.9092448,5.55190445,7.08770326,1744
