U,E,method,threshold_deg,source
0.5,0.5,linear,1.61172325,E50_deg
0.5,0.5,lower,1.5829465,E50_deg
0.5,0.5,higher,1.6405,E50_deg
0.75,0.5,linear,2.198982375,E50_deg
0.75,0.5,lower,2.139912,E50_deg
0.75,0.5,higher,2.3761935000000003,E50_deg
0.8,0.5,linear,2.3289372000000004,E50_deg
0.8,0.5,lower,2.139912,E50_deg
0.8,0.5,higher,2.3761935000000003,E50_deg
0.9,0.5,linear,3.0611992500000005,E50_deg
0.9,0.5,lower,2.3761935000000003,E50_deg
0.9,0.5,higher,3.137311,E50_deg
0.95,0.5,linear,3.254217175,E50_deg
0.95,0.5,lower,3.137311,E50_deg
0.95,0.5,higher,3.3971025,E50_deg
0.5,0.75,linear,2.5122555,E75_deg
0.5,0.75,lower,2.37891,E75_deg
0.5,0.75,higher,2.645601,E75_deg
0.75,0.75,linear,3.5201616875,E75_deg
0.75,0.75,lower,3.3590975,E75_deg
0.75,0.75,higher,4.00335425,E75_deg
0.8,0.75,linear,3.8745029000000004,E75_deg
0.8,0.75,lower,3.3590975,E75_deg
0.8,0.75,higher,4.00335425,E75_deg
0.9,0.75,linear,4.7867120000000005,E75_deg
0.9,0.75,lower,4.00335425,E75_deg
0.9,0.75,higher,4.87375175,E75_deg
0.95,0.75,linear,4.9048781375,E75_deg
0.95,0.75,lower,4.87375175,E75_deg
0.95,0.75,higher,4.9429215,E75_deg
0.5,0.9,linear,4.7007109,E90_deg
0.5,0.9,lower,4.492177,E90_deg
0.5,0.9,higher,4.9092448,E90_deg
0.75,0.9,linear,5.363891449999998,E90_deg
0.75,0.9,lower,5.3371426,E90_deg
0.75,0.9,higher,5.444137999999991,E90_deg
0.8,0.9,linear,5.4227389199999925,E90_deg
0.8,0.9,lower,5.3371426,E90_deg
0.8,0.9,higher,5.444137999999991,E90_deg
0.9,0.9,linear,6.681779209999999,E90_deg
0.9,0.9,lower,5.444137999999991,E90_deg
0.9,0.9,higher,6.8192949,E90_deg
0.95,0.9,linear,7.416949665,E90_deg
0.95,0.9,lower,6.8192949,E90_deg
0.95,0.9,higher,8.147416600000001,E90_deg
0.5,0.95,linear,5.875285624999999,E95_deg
0.5,0.95,lower,5.55190445,E95_deg
0.5,0.95,higher,6.198666799999998,E95_deg
0.75,0.95,linear,8.042616512499997,E95_deg
0.75,0.95,lower,7.6299707499999965,E95_deg
0.75,0.95,higher,9.280553799999998,E95_deg
0.8,0.95,linear,8.950437189999999,E95_deg
0.8,0.95,lower,7.6299707499999965,E95_deg
0.8,0.95,higher,9.280553799999998,E95_deg
0.9,0.95,linear,14.008588329999979,E95_deg
0.9,0.95,lower,9.280553799999998,E95_deg
0.9,0.95,higher,14.533925499999974,E95_deg
0.95,0.95,linear,17.82038507499998,E95_deg
0.95,0.95,lower,14.533925499999974,E95_deg
0.95,0.95,higher,21.837169,E95_deg
