0000: Score = N/A           , Time = 3.249s
0001: Score = N/A           , Time = 2.875s
0002: Score = N/A           , Time = 2.873s
0003: Score = N/A           , Time = 2.871s
0004: Score = N/A           , Time = 2.873s
0005: Score = N/A           , Time = 2.873s
0006: Score = N/A           , Time = 2.878s
0007: Score = N/A           , Time = 2.875s
0008: Score = N/A           , Time = 2.876s
0009: Score = N/A           , Time = 2.873s
0010: Score = N/A           , Time = 2.872s
0011: Score = N/A           , Time = 2.878s
0012: Score = N/A           , Time = 2.872s
0013: Score = N/A           , Time = 2.873s
0014: Score = N/A           , Time = 2.872s
0015: Score = N/A           , Time = 2.872s
0016: Score = N/A           , Time = 2.873s
0017: Score = N/A           , Time = 2.874s
0018: Score = N/A           , Time = 2.873s
0019: Score = N/A           , Time = 2.873s
